,Estados Unidos Mexicanos,Entidad federativa,Tamaño de la localidad,Grupos quinquenales de edad,Población de 15 años y más,Alfabetas :Total,Alfabetas :Hombres,Analfabetas :Mujeres,Analfabetas :Total,Analfabetas :Hombres,Analfabetas :Mujeres
2427,Estados Unidos Mexicanos,25  Sinaloa,2 500 a 4 999 hab.,55 a 59 años,2516,1914,1032,882,602,292,310
2428,Estados Unidos Mexicanos,25  Sinaloa,2 500 a 4 999 hab.,60 a 64 años,1979,1409,756,653,570,271,299
2429,Estados Unidos Mexicanos,25  Sinaloa,2 500 a 4 999 hab.,65 y más años,4543,2642,1316,1326,1901,925,976
2430,Estados Unidos Mexicanos,25  Sinaloa,5 000 a 9 999 hab.,Total,75382,65872,33807,32065,9510,4739,4771
2431,Estados Unidos Mexicanos,25  Sinaloa,5 000 a 9 999 hab.,15 a 19 años,15915,15416,7817,7599,499,285,214
2432,Estados Unidos Mexicanos,25  Sinaloa,5 000 a 9 999 hab.,20 a 24 años,12355,11696,5787,5909,659,357,302
2433,Estados Unidos Mexicanos,25  Sinaloa,5 000 a 9 999 hab.,25 a 29 años,9387,8735,4388,4347,652,355,297
2434,Estados Unidos Mexicanos,25  Sinaloa,5 000 a 9 999 hab.,30 a 34 años,7331,6580,3420,3160,751,388,363
2435,Estados Unidos Mexicanos,25  Sinaloa,5 000 a 9 999 hab.,35 a 39 años,6850,5911,3040,2871,939,472,467
2436,Estados Unidos Mexicanos,25  Sinaloa,5 000 a 9 999 hab.,40 a 44 años,5568,4580,2451,2129,988,483,505
2437,Estados Unidos Mexicanos,25  Sinaloa,5 000 a 9 999 hab.,45 a 49 años,4425,3580,1926,1654,845,405,440
2438,Estados Unidos Mexicanos,25  Sinaloa,5 000 a 9 999 hab.,50 a 54 años,3664,2879,1542,1337,785,367,418
2439,Estados Unidos Mexicanos,25  Sinaloa,5 000 a 9 999 hab.,55 a 59 años,2964,2230,1258,972,734,375,359
2440,Estados Unidos Mexicanos,25  Sinaloa,5 000 a 9 999 hab.,60 a 64 años,2255,1552,819,733,703,344,359
2441,Estados Unidos Mexicanos,25  Sinaloa,5 000 a 9 999 hab.,65 y más años,4668,2713,1359,1354,1955,908,1047
2442,Estados Unidos Mexicanos,25  Sinaloa,10 000 a 14 999 hab.,Total,12767,11103,5516,5587,1664,788,876
2443,Estados Unidos Mexicanos,25  Sinaloa,10 000 a 14 999 hab.,15 a 19 años,2643,2477,1248,1229,166,86,80
2444,Estados Unidos Mexicanos,25  Sinaloa,10 000 a 14 999 hab.,20 a 24 años,1959,1854,909,945,105,46,59
2445,Estados Unidos Mexicanos,25  Sinaloa,10 000 a 14 999 hab.,25 a 29 años,1618,1477,723,754,141,65,76
2446,Estados Unidos Mexicanos,25  Sinaloa,10 000 a 14 999 hab.,30 a 34 años,1173,1051,547,504,122,50,72
2447,Estados Unidos Mexicanos,25  Sinaloa,10 000 a 14 999 hab.,35 a 39 años,1068,893,437,456,175,84,91
2448,Estados Unidos Mexicanos,25  Sinaloa,10 000 a 14 999 hab.,40 a 44 años,954,790,430,360,164,69,95
2449,Estados Unidos Mexicanos,25  Sinaloa,10 000 a 14 999 hab.,45 a 49 años,765,623,301,322,142,83,59
2450,Estados Unidos Mexicanos,25  Sinaloa,10 000 a 14 999 hab.,50 a 54 años,628,493,224,269,135,58,77
2451,Estados Unidos Mexicanos,25  Sinaloa,10 000 a 14 999 hab.,55 a 59 años,544,424,228,196,120,55,65
2452,Estados Unidos Mexicanos,25  Sinaloa,10 000 a 14 999 hab.,60 a 64 años,447,349,176,173,98,55,43
2453,Estados Unidos Mexicanos,25  Sinaloa,10 000 a 14 999 hab.,65 y más años,968,672,293,379,296,137,159
2454,Estados Unidos Mexicanos,25  Sinaloa,15 000 a 19 999 hab.,Total,19640,17574,8854,8720,2066,972,1094
2455,Estados Unidos Mexicanos,25  Sinaloa,15 000 a 19 999 hab.,15 a 19 años,4536,4372,2143,2229,164,99,65
2456,Estados Unidos Mexicanos,25  Sinaloa,15 000 a 19 999 hab.,20 a 24 años,3238,3107,1549,1558,131,51,80
2457,Estados Unidos Mexicanos,25  Sinaloa,15 000 a 19 999 hab.,25 a 29 años,2344,2201,1097,1104,143,64,79
2458,Estados Unidos Mexicanos,25  Sinaloa,15 000 a 19 999 hab.,30 a 34 años,1829,1651,803,848,178,90,88
2459,Estados Unidos Mexicanos,25  Sinaloa,15 000 a 19 999 hab.,35 a 39 años,1622,1436,697,739,186,91,95
2460,Estados Unidos Mexicanos,25  Sinaloa,15 000 a 19 999 hab.,40 a 44 años,1377,1173,599,574,204,80,124
2461,Estados Unidos Mexicanos,25  Sinaloa,15 000 a 19 999 hab.,45 a 49 años,1155,971,500,471,184,75,109
2462,Estados Unidos Mexicanos,25  Sinaloa,15 000 a 19 999 hab.,50 a 54 años,950,806,443,363,144,79,65
2463,Estados Unidos Mexicanos,25  Sinaloa,15 000 a 19 999 hab.,55 a 59 años,771,618,341,277,153,75,78
2464,Estados Unidos Mexicanos,25  Sinaloa,15 000 a 19 999 hab.,60 a 64 años,657,493,268,225,164,80,84
2465,Estados Unidos Mexicanos,25  Sinaloa,15 000 a 19 999 hab.,65 y más años,1161,746,414,332,415,188,227
2466,Estados Unidos Mexicanos,25  Sinaloa,20 000 a 49 999 hab.,Total,63528,58023,28296,29727,5505,2530,2975
2467,Estados Unidos Mexicanos,25  Sinaloa,20 000 a 49 999 hab.,15 a 19 años,13789,13516,6468,7048,273,143,130
2468,Estados Unidos Mexicanos,25  Sinaloa,20 000 a 49 999 hab.,20 a 24 años,10614,10258,4726,5532,356,163,193
2469,Estados Unidos Mexicanos,25  Sinaloa,20 000 a 49 999 hab.,25 a 29 años,7934,7537,3644,3893,397,184,213
2470,Estados Unidos Mexicanos,25  Sinaloa,20 000 a 49 999 hab.,30 a 34 años,6525,6111,2937,3174,414,163,251
2471,Estados Unidos Mexicanos,25  Sinaloa,20 000 a 49 999 hab.,35 a 39 años,5769,5225,2660,2565,544,255,289
2472,Estados Unidos Mexicanos,25  Sinaloa,20 000 a 49 999 hab.,40 a 44 años,4660,4146,2141,2005,514,236,278
2473,Estados Unidos Mexicanos,25  Sinaloa,20 000 a 49 999 hab.,45 a 49 años,3600,3156,1629,1527,444,209,235
2474,Estados Unidos Mexicanos,25  Sinaloa,20 000 a 49 999 hab.,50 a 54 años,2793,2352,1213,1139,441,200,241
2475,Estados Unidos Mexicanos,25  Sinaloa,20 000 a 49 999 hab.,55 a 59 años,2320,1896,949,947,424,200,224
2476,Estados Unidos Mexicanos,25  Sinaloa,20 000 a 49 999 hab.,60 a 64 años,1850,1390,726,664,460,223,237
2477,Estados Unidos Mexicanos,25  Sinaloa,20 000 a 49 999 hab.,65 y más años,3674,2436,1203,1233,1238,554,684
2478,Estados Unidos Mexicanos,25  Sinaloa,50 000 a 99 999 hab.,Total,0,0,0,0,0,0,0
2479,Estados Unidos Mexicanos,25  Sinaloa,100 000  y más hab.,Total,364935,340212,164354,175858,24723,10835,13888
2480,Estados Unidos Mexicanos,25  Sinaloa,100 000  y más hab.,15 a 19 años,77398,76149,36623,39526,1249,683,566
2481,Estados Unidos Mexicanos,25  Sinaloa,100 000  y más hab.,20 a 24 años,63599,61840,29257,32583,1759,801,958
2482,Estados Unidos Mexicanos,25  Sinaloa,100 000  y más hab.,25 a 29 años,49248,47337,22562,24775,1911,874,1037
2483,Estados Unidos Mexicanos,25  Sinaloa,100 000  y más hab.,30 a 34 años,38864,36908,17824,19084,1956,921,1035
2484,Estados Unidos Mexicanos,25  Sinaloa,100 000  y más hab.,35 a 39 años,32358,30082,14902,15180,2276,1062,1214
2485,Estados Unidos Mexicanos,25  Sinaloa,100 000  y más hab.,40 a 44 años,25480,23047,11661,11386,2433,1088,1345
2486,Estados Unidos Mexicanos,25  Sinaloa,100 000  y más hab.,45 a 49 años,19755,17547,8866,8681,2208,960,1248
2487,Estados Unidos Mexicanos,25  Sinaloa,100 000  y más hab.,50 a 54 años,16355,14280,7095,7185,2075,875,1200
2488,Estados Unidos Mexicanos,25  Sinaloa,100 000  y más hab.,55 a 59 años,12828,10983,5461,5522,1845,746,1099
2489,Estados Unidos Mexicanos,25  Sinaloa,100 000  y más hab.,60 a 64 años,9678,7945,3786,4159,1733,678,1055
2490,Estados Unidos Mexicanos,25  Sinaloa,100 000  y más hab.,65 y más años,19372,14094,6317,7777,5278,2147,3131
2491,Estados Unidos Mexicanos,26  Sonora,Total,Total,876307,801485,404063,397422,74822,35893,38929
2492,Estados Unidos Mexicanos,26  Sonora,Total,15 a 19 años,176531,172310,85939,86371,4221,2223,1998
2493,Estados Unidos Mexicanos,26  Sonora,Total,20 a 24 años,145373,140574,69512,71062,4799,2335,2464
2494,Estados Unidos Mexicanos,26  Sonora,Total,25 a 29 años,109785,104950,51624,53326,4835,2355,2480
2495,Estados Unidos Mexicanos,26  Sonora,Total,30 a 34 años,88150,82707,41531,41176,5443,2609,2834
2496,Estados Unidos Mexicanos,26  Sonora,Total,35 a 39 años,77393,70355,35647,34708,7038,3216,3822
2497,Estados Unidos Mexicanos,26  Sonora,Total,40 a 44 años,65740,58012,30028,27984,7728,3584,4144
2498,Estados Unidos Mexicanos,26  Sonora,Total,45 a 49 años,53353,46127,24117,22010,7226,3387,3839
2499,Estados Unidos Mexicanos,26  Sonora,Total,50 a 54 años,44257,37258,19681,17577,6999,3383,3616
2500,Estados Unidos Mexicanos,26  Sonora,Total,55 a 59 años,35403,29340,15813,13527,6063,2995,3068
2501,Estados Unidos Mexicanos,26  Sonora,Total,60 a 64 años,27280,21737,11279,10458,5543,2722,2821
2502,Estados Unidos Mexicanos,26  Sonora,Total,65 y más años,53042,38115,18892,19223,14927,7084,7843
2503,Estados Unidos Mexicanos,26  Sonora,1 a 2 499 hab.,Total,250027,210595,113766,96829,39432,20417,19015
2504,Estados Unidos Mexicanos,26  Sonora,1 a 2 499 hab.,15 a 19 años,47465,45249,23543,21706,2216,1192,1024
2505,Estados Unidos Mexicanos,26  Sonora,1 a 2 499 hab.,20 a 24 años,38680,36055,18921,17134,2625,1313,1312
2506,Estados Unidos Mexicanos,26  Sonora,1 a 2 499 hab.,25 a 29 años,29162,26468,13934,12534,2694,1375,1319
2507,Estados Unidos Mexicanos,26  Sonora,1 a 2 499 hab.,30 a 34 años,24305,21341,11391,9950,2964,1507,1457
2508,Estados Unidos Mexicanos,26  Sonora,1 a 2 499 hab.,35 a 39 años,23084,19110,10480,8630,3974,1930,2044
2509,Estados Unidos Mexicanos,26  Sonora,1 a 2 499 hab.,40 a 44 años,20182,16000,8888,7112,4182,2074,2108
2510,Estados Unidos Mexicanos,26  Sonora,1 a 2 499 hab.,45 a 49 años,16066,12130,6926,5204,3936,1973,1963
2511,Estados Unidos Mexicanos,26  Sonora,1 a 2 499 hab.,50 a 54 años,13509,9884,5596,4288,3625,1921,1704
2512,Estados Unidos Mexicanos,26  Sonora,1 a 2 499 hab.,55 a 59 años,10893,7883,4670,3213,3010,1629,1381
2513,Estados Unidos Mexicanos,26  Sonora,1 a 2 499 hab.,60 a 64 años,8789,5899,3454,2445,2890,1590,1300
2514,Estados Unidos Mexicanos,26  Sonora,1 a 2 499 hab.,65 y más años,17892,10576,5963,4613,7316,3913,3403
2515,Estados Unidos Mexicanos,26  Sonora,2 500 a 4 999 hab.,Total,43019,38696,19817,18879,4323,2162,2161
2516,Estados Unidos Mexicanos,26  Sonora,2 500 a 4 999 hab.,15 a 19 años,8943,8711,4420,4291,232,124,108
2517,Estados Unidos Mexicanos,26  Sonora,2 500 a 4 999 hab.,20 a 24 años,6963,6692,3378,3314,271,143,128
2518,Estados Unidos Mexicanos,26  Sonora,2 500 a 4 999 hab.,25 a 29 años,5034,4782,2425,2357,252,127,125
2519,Estados Unidos Mexicanos,26  Sonora,2 500 a 4 999 hab.,30 a 34 años,4195,3876,1930,1946,319,159,160
2520,Estados Unidos Mexicanos,26  Sonora,2 500 a 4 999 hab.,35 a 39 años,3714,3328,1705,1623,386,179,207
2521,Estados Unidos Mexicanos,26  Sonora,2 500 a 4 999 hab.,40 a 44 años,3352,2915,1535,1380,437,215,222
2522,Estados Unidos Mexicanos,26  Sonora,2 500 a 4 999 hab.,45 a 49 años,2700,2286,1195,1091,414,184,230
2523,Estados Unidos Mexicanos,26  Sonora,2 500 a 4 999 hab.,50 a 54 años,2223,1794,941,853,429,194,235
2524,Estados Unidos Mexicanos,26  Sonora,2 500 a 4 999 hab.,55 a 59 años,1701,1346,709,637,355,175,180
2525,Estados Unidos Mexicanos,26  Sonora,2 500 a 4 999 hab.,60 a 64 años,1388,1075,589,486,313,168,145
2526,Estados Unidos Mexicanos,26  Sonora,2 500 a 4 999 hab.,65 y más años,2806,1891,990,901,915,494,421
2527,Estados Unidos Mexicanos,26  Sonora,5 000 a 9 999 hab.,Total,42338,38792,19590,19202,3546,1591,1955
2528,Estados Unidos Mexicanos,26  Sonora,5 000 a 9 999 hab.,15 a 19 años,8727,8550,4281,4269,177,90,87
2529,Estados Unidos Mexicanos,26  Sonora,5 000 a 9 999 hab.,20 a 24 años,6703,6470,3228,3242,233,122,111
2530,Estados Unidos Mexicanos,26  Sonora,5 000 a 9 999 hab.,25 a 29 años,4982,4774,2398,2376,208,110,98
2531,Estados Unidos Mexicanos,26  Sonora,5 000 a 9 999 hab.,30 a 34 años,3974,3750,1840,1910,224,111,113
2532,Estados Unidos Mexicanos,26  Sonora,5 000 a 9 999 hab.,35 a 39 años,3729,3429,1659,1770,300,133,167
2533,Estados Unidos Mexicanos,26  Sonora,5 000 a 9 999 hab.,40 a 44 años,3250,2894,1476,1418,356,142,214
2534,Estados Unidos Mexicanos,26  Sonora,5 000 a 9 999 hab.,45 a 49 años,2723,2379,1204,1175,344,143,201
2535,Estados Unidos Mexicanos,26  Sonora,5 000 a 9 999 hab.,50 a 54 años,2169,1832,1017,815,337,153,184
2536,Estados Unidos Mexicanos,26  Sonora,5 000 a 9 999 hab.,55 a 59 años,1765,1487,818,669,278,111,167
2537,Estados Unidos Mexicanos,26  Sonora,5 000 a 9 999 hab.,60 a 64 años,1438,1151,620,531,287,126,161
2538,Estados Unidos Mexicanos,26  Sonora,5 000 a 9 999 hab.,65 y más años,2878,2076,1049,1027,802,350,452
2539,Estados Unidos Mexicanos,26  Sonora,10 000 a 14 999 hab.,Total,14242,13472,6629,6843,770,329,441
2540,Estados Unidos Mexicanos,26  Sonora,10 000 a 14 999 hab.,15 a 19 años,2647,2592,1286,1306,55,23,32
2541,Estados Unidos Mexicanos,26  Sonora,10 000 a 14 999 hab.,20 a 24 años,2145,2093,1009,1084,52,26,26
2542,Estados Unidos Mexicanos,26  Sonora,10 000 a 14 999 hab.,25 a 29 años,1892,1846,874,972,46,26,20
2543,Estados Unidos Mexicanos,26  Sonora,10 000 a 14 999 hab.,30 a 34 años,1504,1441,702,739,63,24,39
2544,Estados Unidos Mexicanos,26  Sonora,10 000 a 14 999 hab.,35 a 39 años,1285,1221,613,608,64,30,34
2545,Estados Unidos Mexicanos,26  Sonora,10 000 a 14 999 hab.,40 a 44 años,1081,1006,526,480,75,25,50
2546,Estados Unidos Mexicanos,26  Sonora,10 000 a 14 999 hab.,45 a 49 años,878,823,411,412,55,27,28
2547,Estados Unidos Mexicanos,26  Sonora,10 000 a 14 999 hab.,50 a 54 años,684,620,319,301,64,23,41
2548,Estados Unidos Mexicanos,26  Sonora,10 000 a 14 999 hab.,55 a 59 años,630,569,277,292,61,27,34
2549,Estados Unidos Mexicanos,26  Sonora,10 000 a 14 999 hab.,60 a 64 años,513,454,224,230,59,30,29
2550,Estados Unidos Mexicanos,26  Sonora,10 000 a 14 999 hab.,65 y más años,983,807,388,419,176,68,108
2551,Estados Unidos Mexicanos,26  Sonora,15 000 a 19 999 hab.,Total,31737,30298,15066,15232,1439,598,841
2552,Estados Unidos Mexicanos,26  Sonora,15 000 a 19 999 hab.,15 a 19 años,6218,6138,3076,3062,80,36,44
2553,Estados Unidos Mexicanos,26  Sonora,15 000 a 19 999 hab.,20 a 24 años,5014,4928,2336,2592,86,48,38
2554,Estados Unidos Mexicanos,26  Sonora,15 000 a 19 999 hab.,25 a 29 años,4153,4071,1987,2084,82,39,43
2555,Estados Unidos Mexicanos,26  Sonora,15 000 a 19 999 hab.,30 a 34 años,3384,3295,1645,1650,89,32,57
2556,Estados Unidos Mexicanos,26  Sonora,15 000 a 19 999 hab.,35 a 39 años,2799,2679,1330,1349,120,49,71
2557,Estados Unidos Mexicanos,26  Sonora,15 000 a 19 999 hab.,40 a 44 años,2350,2205,1158,1047,145,56,89
2558,Estados Unidos Mexicanos,26  Sonora,15 000 a 19 999 hab.,45 a 49 años,1876,1746,855,891,130,53,77
2559,Estados Unidos Mexicanos,26  Sonora,15 000 a 19 999 hab.,50 a 54 años,1666,1531,793,738,135,50,85
2560,Estados Unidos Mexicanos,26  Sonora,15 000 a 19 999 hab.,55 a 59 años,1362,1237,648,589,125,60,65
2561,Estados Unidos Mexicanos,26  Sonora,15 000 a 19 999 hab.,60 a 64 años,1071,970,483,487,101,43,58
2562,Estados Unidos Mexicanos,26  Sonora,15 000 a 19 999 hab.,65 y más años,1844,1498,755,743,346,132,214
2563,Estados Unidos Mexicanos,26  Sonora,20 000 a 49 999 hab.,Total,68866,64755,31781,32974,4111,1756,2355
2564,Estados Unidos Mexicanos,26  Sonora,20 000 a 49 999 hab.,15 a 19 años,14198,13943,6780,7163,255,143,112
2565,Estados Unidos Mexicanos,26  Sonora,20 000 a 49 999 hab.,20 a 24 años,11541,11266,5253,6013,275,136,139
2566,Estados Unidos Mexicanos,26  Sonora,20 000 a 49 999 hab.,25 a 29 años,8623,8349,4038,4311,274,120,154
2567,Estados Unidos Mexicanos,26  Sonora,20 000 a 49 999 hab.,30 a 34 años,6810,6508,3195,3313,302,135,167
2568,Estados Unidos Mexicanos,26  Sonora,20 000 a 49 999 hab.,35 a 39 años,5803,5482,2697,2785,321,122,199
2569,Estados Unidos Mexicanos,26  Sonora,20 000 a 49 999 hab.,40 a 44 años,5030,4623,2366,2257,407,171,236
2570,Estados Unidos Mexicanos,26  Sonora,20 000 a 49 999 hab.,45 a 49 años,4276,3910,2006,1904,366,156,210
2571,Estados Unidos Mexicanos,26  Sonora,20 000 a 49 999 hab.,50 a 54 años,3563,3168,1656,1512,395,169,226
2572,Estados Unidos Mexicanos,26  Sonora,20 000 a 49 999 hab.,55 a 59 años,2842,2478,1335,1143,364,152,212
2573,Estados Unidos Mexicanos,26  Sonora,20 000 a 49 999 hab.,60 a 64 años,2115,1809,910,899,306,133,173
2574,Estados Unidos Mexicanos,26  Sonora,20 000 a 49 999 hab.,65 y más años,4065,3219,1545,1674,846,319,527
2575,Estados Unidos Mexicanos,26  Sonora,50 000 a 99 999 hab.,Total,151487,143163,69295,73868,8324,3450,4874
2576,Estados Unidos Mexicanos,26  Sonora,50 000 a 99 999 hab.,15 a 19 años,31777,31256,15194,16062,521,269,252
2577,Estados Unidos Mexicanos,26  Sonora,50 000 a 99 999 hab.,20 a 24 años,25086,24568,11593,12975,518,239,279
2578,Estados Unidos Mexicanos,26  Sonora,50 000 a 99 999 hab.,25 a 29 años,19519,18955,8891,10064,564,251,313
2579,Estados Unidos Mexicanos,26  Sonora,50 000 a 99 999 hab.,30 a 34 años,15481,14879,7141,7738,602,260,342
2580,Estados Unidos Mexicanos,26  Sonora,50 000 a 99 999 hab.,35 a 39 años,13221,12500,6074,6426,721,293,428
2581,Estados Unidos Mexicanos,26  Sonora,50 000 a 99 999 hab.,40 a 44 años,11058,10235,5043,5192,823,339,484
2582,Estados Unidos Mexicanos,26  Sonora,50 000 a 99 999 hab.,45 a 49 años,9095,8338,4214,4124,757,319,438
2583,Estados Unidos Mexicanos,26  Sonora,50 000 a 99 999 hab.,50 a 54 años,7562,6812,3431,3381,750,297,453
2584,Estados Unidos Mexicanos,26  Sonora,50 000 a 99 999 hab.,55 a 59 años,6013,5307,2857,2450,706,294,412
2585,Estados Unidos Mexicanos,26  Sonora,50 000 a 99 999 hab.,60 a 64 años,4350,3747,1814,1933,603,244,359
2586,Estados Unidos Mexicanos,26  Sonora,50 000 a 99 999 hab.,65 y más años,8325,6566,3043,3523,1759,645,1114
2587,Estados Unidos Mexicanos,26  Sonora,100 000  y más hab.,Total,274591,261714,128119,133595,12877,5590,7287
2588,Estados Unidos Mexicanos,26  Sonora,100 000  y más hab.,15 a 19 años,56556,55871,27359,28512,685,346,339
2589,Estados Unidos Mexicanos,26  Sonora,100 000  y más hab.,20 a 24 años,49241,48502,23794,24708,739,308,431
2590,Estados Unidos Mexicanos,26  Sonora,100 000  y más hab.,25 a 29 años,36420,35705,17077,18628,715,307,408
2591,Estados Unidos Mexicanos,26  Sonora,100 000  y más hab.,30 a 34 años,28497,27617,13687,13930,880,381,499
2592,Estados Unidos Mexicanos,26  Sonora,100 000  y más hab.,35 a 39 años,23758,22606,11089,11517,1152,480,672
2593,Estados Unidos Mexicanos,26  Sonora,100 000  y más hab.,40 a 44 años,19437,18134,9036,9098,1303,562,741
2594,Estados Unidos Mexicanos,26  Sonora,100 000  y más hab.,45 a 49 años,15739,14515,7306,7209,1224,532,692
2595,Estados Unidos Mexicanos,26  Sonora,100 000  y más hab.,50 a 54 años,12881,11617,5928,5689,1264,576,688
2596,Estados Unidos Mexicanos,26  Sonora,100 000  y más hab.,55 a 59 años,10197,9033,4499,4534,1164,547,617
2597,Estados Unidos Mexicanos,26  Sonora,100 000  y más hab.,60 a 64 años,7616,6632,3185,3447,984,388,596
2598,Estados Unidos Mexicanos,26  Sonora,100 000  y más hab.,65 y más años,14249,11482,5159,6323,2767,1163,1604
2599,Estados Unidos Mexicanos,27  Tabasco,Total,Total,571791,468950,248289,220661,102841,40272,62569
2600,Estados Unidos Mexicanos,27  Tabasco,Total,15 a 19 años,124961,113548,56745,56803,11413,4980,6433
2601,Estados Unidos Mexicanos,27  Tabasco,Total,20 a 24 años,98443,87477,43545,43932,10966,4389,6577
2602,Estados Unidos Mexicanos,27  Tabasco,Total,25 a 29 años,77905,67660,34461,33199,10245,3843,6402
2603,Estados Unidos Mexicanos,27  Tabasco,Total,30 a 34 años,55386,46976,25220,21756,8410,3216,5194
2604,Estados Unidos Mexicanos,27  Tabasco,Total,35 a 39 años,52089,41718,22005,19713,10371,3775,6596
2605,Estados Unidos Mexicanos,27  Tabasco,Total,40 a 44 años,40264,31804,17813,13991,8460,3305,5155
2606,Estados Unidos Mexicanos,27  Tabasco,Total,45 a 49 años,33826,25601,14485,11116,8225,2989,5236
2607,Estados Unidos Mexicanos,27  Tabasco,Total,50 a 54 años,24497,17488,10573,6915,7009,2462,4547
2608,Estados Unidos Mexicanos,27  Tabasco,Total,55 a 59 años,17725,12304,7781,4523,5421,2045,3376
2609,Estados Unidos Mexicanos,27  Tabasco,Total,60 a 64 años,14233,8673,5610,3063,5560,2020,3540
2610,Estados Unidos Mexicanos,27  Tabasco,Total,65 y más años,32462,15701,10051,5650,16761,7248,9513
2611,Estados Unidos Mexicanos,27  Tabasco,1 a 2 499 hab.,Total,331727,254799,140656,114143,76928,31421,45507
2612,Estados Unidos Mexicanos,27  Tabasco,1 a 2 499 hab.,15 a 19 años,75405,66043,34010,32033,9362,4155,5207
2613,Estados Unidos Mexicanos,27  Tabasco,1 a 2 499 hab.,20 a 24 años,56244,47706,24588,23118,8538,3505,5033
2614,Estados Unidos Mexicanos,27  Tabasco,1 a 2 499 hab.,25 a 29 años,44115,36267,19052,17215,7848,2992,4856
2615,Estados Unidos Mexicanos,27  Tabasco,1 a 2 499 hab.,30 a 34 años,30685,24298,13492,10806,6387,2547,3840
2616,Estados Unidos Mexicanos,27  Tabasco,1 a 2 499 hab.,35 a 39 años,30650,22751,12449,10302,7899,2967,4932
2617,Estados Unidos Mexicanos,27  Tabasco,1 a 2 499 hab.,40 a 44 años,22632,16554,9710,6844,6078,2491,3587
2618,Estados Unidos Mexicanos,27  Tabasco,1 a 2 499 hab.,45 a 49 años,19589,13556,8050,5506,6033,2275,3758
2619,Estados Unidos Mexicanos,27  Tabasco,1 a 2 499 hab.,50 a 54 años,14126,9063,5960,3103,5063,1833,3230
2620,Estados Unidos Mexicanos,27  Tabasco,1 a 2 499 hab.,55 a 59 años,10371,6369,4423,1946,4002,1569,2433
2621,Estados Unidos Mexicanos,27  Tabasco,1 a 2 499 hab.,60 a 64 años,8489,4507,3251,1256,3982,1506,2476
2622,Estados Unidos Mexicanos,27  Tabasco,1 a 2 499 hab.,65 y más años,19421,7685,5671,2014,11736,5581,6155
2623,Estados Unidos Mexicanos,27  Tabasco,2 500 a 4 999 hab.,Total,35635,30113,15741,14372,5522,2093,3429
2624,Estados Unidos Mexicanos,27  Tabasco,2 500 a 4 999 hab.,15 a 19 años,7907,7418,3661,3757,489,213,276
2625,Estados Unidos Mexicanos,27  Tabasco,2 500 a 4 999 hab.,20 a 24 años,5932,5404,2645,2759,528,207,321
2626,Estados Unidos Mexicanos,27  Tabasco,2 500 a 4 999 hab.,25 a 29 años,4574,4068,2091,1977,506,190,316
2627,Estados Unidos Mexicanos,27  Tabasco,2 500 a 4 999 hab.,30 a 34 años,3427,2973,1550,1423,454,156,298
2628,Estados Unidos Mexicanos,27  Tabasco,2 500 a 4 999 hab.,35 a 39 años,3264,2714,1302,1412,550,193,357
2629,Estados Unidos Mexicanos,27  Tabasco,2 500 a 4 999 hab.,40 a 44 años,2654,2159,1219,940,495,196,299
2630,Estados Unidos Mexicanos,27  Tabasco,2 500 a 4 999 hab.,45 a 49 años,2167,1708,979,729,459,166,293
2631,Estados Unidos Mexicanos,27  Tabasco,2 500 a 4 999 hab.,50 a 54 años,1573,1159,694,465,414,142,272
2632,Estados Unidos Mexicanos,27  Tabasco,2 500 a 4 999 hab.,55 a 59 años,1194,885,567,318,309,114,195
2633,Estados Unidos Mexicanos,27  Tabasco,2 500 a 4 999 hab.,60 a 64 años,919,582,385,197,337,126,211
2634,Estados Unidos Mexicanos,27  Tabasco,2 500 a 4 999 hab.,65 y más años,2024,1043,648,395,981,390,591
2635,Estados Unidos Mexicanos,27  Tabasco,5 000 a 9 999 hab.,Total,25171,21729,11245,10484,3442,1196,2246
2636,Estados Unidos Mexicanos,27  Tabasco,5 000 a 9 999 hab.,15 a 19 años,5198,4929,2459,2470,269,108,161
2637,Estados Unidos Mexicanos,27  Tabasco,5 000 a 9 999 hab.,20 a 24 años,4278,3986,1897,2089,292,117,175
2638,Estados Unidos Mexicanos,27  Tabasco,5 000 a 9 999 hab.,25 a 29 años,3472,3147,1588,1559,325,92,233
2639,Estados Unidos Mexicanos,27  Tabasco,5 000 a 9 999 hab.,30 a 34 años,2427,2163,1118,1045,264,94,170
2640,Estados Unidos Mexicanos,27  Tabasco,5 000 a 9 999 hab.,35 a 39 años,2302,1959,1018,941,343,102,241
2641,Estados Unidos Mexicanos,27  Tabasco,5 000 a 9 999 hab.,40 a 44 años,1849,1490,825,665,359,130,229
2642,Estados Unidos Mexicanos,27  Tabasco,5 000 a 9 999 hab.,45 a 49 años,1533,1236,687,549,297,94,203
2643,Estados Unidos Mexicanos,27  Tabasco,5 000 a 9 999 hab.,50 a 54 años,1175,915,520,395,260,92,168
2644,Estados Unidos Mexicanos,27  Tabasco,5 000 a 9 999 hab.,55 a 59 años,775,587,357,230,188,78,110
2645,Estados Unidos Mexicanos,27  Tabasco,5 000 a 9 999 hab.,60 a 64 años,639,433,267,166,206,69,137
2646,Estados Unidos Mexicanos,27  Tabasco,5 000 a 9 999 hab.,65 y más años,1523,884,509,375,639,220,419
2647,Estados Unidos Mexicanos,27  Tabasco,10 000 a 14 999 hab.,Total,28112,24380,12245,12135,3732,1278,2454
