,Estados Unidos Mexicanos,Entidad federativa,Área urbana y rural ,Alfabetismo,Sexo,Población de 6 años y más,6 años,7 años,8 años,9 años,De 10 a 14 años,De 15 a 19 años,De 20 a 24 años,De 25 a 29 años,De 30 a 39 años,De 40 a 49 años,De 50 a 59 años,De 60 y más años,No indicados
149,Estados Unidos Mexicanos,Coahuila,Urbana,Alfabetos,Total,407913,2321,8153,12777,13490,71220,59588,48365,38152,62173,39846,27165,22723,1940
150,Estados Unidos Mexicanos,Coahuila,Urbana,Alfabetos,Hombres,203452,1126,4096,6375,6739,35885,28864,22263,18097,30814,20739,14949,12300,1205
151,Estados Unidos Mexicanos,Coahuila,Urbana,Alfabetos,Mujeres,204461,1195,4057,6402,6751,35335,30724,26102,20055,31359,19107,12216,10423,735
152,Estados Unidos Mexicanos,Coahuila,Urbana,Analfabetos,Total,75610,15544,9199,3878,1585,5736,3198,3208,2766,4711,6012,7003,10986,1784
153,Estados Unidos Mexicanos,Coahuila,Urbana,Analfabetos,Hombres,33308,7973,4795,2009,874,3008,1486,1310,1038,1476,1642,2309,4273,1115
154,Estados Unidos Mexicanos,Coahuila,Urbana,Analfabetos,Mujeres,42302,7571,4404,1869,711,2728,1712,1898,1728,3235,4370,4694,6713,669
155,Estados Unidos Mexicanos,Coahuila,Rural,Total,Total,245760,10244,9773,9564,8455,38322,31270,25717,20413,33811,22158,18090,16817,1126
156,Estados Unidos Mexicanos,Coahuila,Rural,Total,Hombres,130736,5234,4931,4944,4295,20071,16601,13358,10519,17938,11875,10497,9723,750
157,Estados Unidos Mexicanos,Coahuila,Rural,Total,Mujeres,115024,5010,4842,4620,4160,18251,14669,12359,9894,15873,10283,7593,7094,376
158,Estados Unidos Mexicanos,Coahuila,Rural,Alfabetos,Total,178469,951,3482,5511,5970,34345,27895,22440,16968,26477,15740,10570,7646,474
159,Estados Unidos Mexicanos,Coahuila,Rural,Alfabetos,Hombres,96013,494,1695,2781,2973,17656,14598,11702,8908,14426,8944,6676,4860,300
160,Estados Unidos Mexicanos,Coahuila,Rural,Alfabetos,Mujeres,82456,457,1787,2730,2997,16689,13297,10738,8060,12051,6796,3894,2786,174
161,Estados Unidos Mexicanos,Coahuila,Rural,Analfabetos,Total,67291,9293,6291,4053,2485,3977,3375,3277,3445,7334,6418,7520,9171,652
162,Estados Unidos Mexicanos,Coahuila,Rural,Analfabetos,Hombres,34723,4740,3236,2163,1322,2415,2003,1656,1611,3512,2931,3821,4863,450
163,Estados Unidos Mexicanos,Coahuila,Rural,Analfabetos,Mujeres,32568,4553,3055,1890,1163,1562,1372,1621,1834,3822,3487,3699,4308,202
164,Estados Unidos Mexicanos,Colima,Total,Total,Total,131099,5558,5151,5082,4225,20594,16366,13013,10201,17761,13405,8286,9850,1607
165,Estados Unidos Mexicanos,Colima,Total,Total,Hombres,65376,2763,2610,2547,2113,10543,7982,6267,4930,8751,6763,4243,4784,1080
166,Estados Unidos Mexicanos,Colima,Total,Total,Mujeres,65723,2795,2541,2535,2112,10051,8384,6746,5271,9010,6642,4043,5066,527
167,Estados Unidos Mexicanos,Colima,Total,Alfabetos,Total,89945,629,1694,1765,2763,16546,13904,10792,8063,12946,9401,5350,5439,653
168,Estados Unidos Mexicanos,Colima,Total,Alfabetos,Hombres,45401,290,835,1252,1349,8347,6696,5270,3985,6570,4813,2882,2694,418
169,Estados Unidos Mexicanos,Colima,Total,Alfabetos,Mujeres,44544,339,859,513,1414,8199,7208,5522,4078,6376,4588,2468,2745,235
170,Estados Unidos Mexicanos,Colima,Total,Analfabetos,Total,41154,4929,3457,3317,1462,4048,2462,2221,2138,4815,4004,2936,4411,954
171,Estados Unidos Mexicanos,Colima,Total,Analfabetos,Hombres,19975,2473,1775,1295,764,2196,1286,997,945,2181,1950,1361,2090,662
172,Estados Unidos Mexicanos,Colima,Total,Analfabetos,Mujeres,21179,2456,1682,2022,698,1852,1176,1224,1193,2634,2054,1575,2321,292
173,Estados Unidos Mexicanos,Colima,Urbana,Total,Total,81018,3176,3076,3154,2538,12548,9958,8046,6190,10967,8282,5279,6637,1167
174,Estados Unidos Mexicanos,Colima,Urbana,Total,Hombres,39329,1569,1568,1473,1265,6408,4699,3758,2945,5239,4038,2589,2992,786
175,Estados Unidos Mexicanos,Colima,Urbana,Total,Mujeres,41689,1607,1508,1681,1273,6140,5259,4288,3245,5728,4244,2690,3645,381
