,Estados Unidos Mexicanos,Entidad federativa,Tamaño de la localidad,Grupos de edad,Saben leer y escribir :Hombres y mujeres,Saben leer y escribir :Hombres,No saben leer y escribir :Mujeres,No saben leer y escribir :Hombres y mujeres,No saben leer y escribir :Hombres,No saben leer y escribir :Mujeres,No saben leer y escribir :Hombres y mujeres,No saben leer y escribir :Hombres,No saben leer y escribir :Mujeres
86,Estados Unidos Mexicanos,Aguascalientes,De 2 500 a 4 999 habitantes,De 15 a 19 años,978,480,498,933,457,476,45,23,22
87,Estados Unidos Mexicanos,Aguascalientes,De 2 500 a 4 999 habitantes,De 20 a 24 años,716,341,375,656,318,338,60,23,37
88,Estados Unidos Mexicanos,Aguascalientes,De 2 500 a 4 999 habitantes,De 25 a 29 años,547,270,277,501,246,255,46,24,22
89,Estados Unidos Mexicanos,Aguascalientes,De 2 500 a 4 999 habitantes,De 30 a 34 años,451,222,229,405,201,204,46,21,25
90,Estados Unidos Mexicanos,Aguascalientes,De 2 500 a 4 999 habitantes,De 35 a 39 años,403,199,204,340,172,168,63,27,36
91,Estados Unidos Mexicanos,Aguascalientes,De 2 500 a 4 999 habitantes,De 40 años y más,1633,842,791,1191,640,551,442,202,240
92,Estados Unidos Mexicanos,Aguascalientes,De 5 000 a 9 999 habitantes,Total,19326,9610,9716,15416,7737,7679,3910,1873,2037
93,Estados Unidos Mexicanos,Aguascalientes,De 5 000 a 9 999 habitantes,De 6 a 9 años,3234,1679,1555,2044,1054,990,1190,625,565
94,Estados Unidos Mexicanos,Aguascalientes,De 5 000 a 9 999 habitantes,De 10 a 14 años,3533,1767,1766,3304,1652,1652,229,115,114
95,Estados Unidos Mexicanos,Aguascalientes,De 5 000 a 9 999 habitantes,De 15 a 19 años,2612,1302,1310,2381,1185,1196,231,117,114
96,Estados Unidos Mexicanos,Aguascalientes,De 5 000 a 9 999 habitantes,De 20 a 24 años,1742,849,893,1533,746,787,209,103,106
97,Estados Unidos Mexicanos,Aguascalientes,De 5 000 a 9 999 habitantes,De 25 a 29 años,1366,659,707,1169,569,600,197,90,107
98,Estados Unidos Mexicanos,Aguascalientes,De 5 000 a 9 999 habitantes,De 30 a 34 años,1151,547,604,987,468,519,164,79,85
99,Estados Unidos Mexicanos,Aguascalientes,De 5 000 a 9 999 habitantes,De 35 a 39 años,1174,543,631,991,466,525,183,77,106
100,Estados Unidos Mexicanos,Aguascalientes,De 5 000 a 9 999 habitantes,De 40 años y más,4514,2264,2250,3007,1597,1410,1507,667,840
101,Estados Unidos Mexicanos,Aguascalientes,De 50 000 habitantes y más,Total,145293,68894,76399,120103,58398,61705,25190,10496,14694
102,Estados Unidos Mexicanos,Aguascalientes,De 50 000 habitantes y más,De 6 a 9 años,22303,11281,11022,13291,6662,6629,9012,4619,4393
103,Estados Unidos Mexicanos,Aguascalientes,De 50 000 habitantes y más,De 10 a 14 años,24014,12044,11970,22548,11348,11200,1466,696,770
104,Estados Unidos Mexicanos,Aguascalientes,De 50 000 habitantes y más,De 15 a 19 años,19904,9536,10368,18724,9078,9646,1180,458,722
105,Estados Unidos Mexicanos,Aguascalientes,De 50 000 habitantes y más,De 20 a 24 años,15288,6913,8375,13861,6336,7525,1427,577,850
106,Estados Unidos Mexicanos,Aguascalientes,De 50 000 habitantes y más,De 25 a 29 años,11268,5244,6024,10031,4777,5254,1237,467,770
107,Estados Unidos Mexicanos,Aguascalientes,De 50 000 habitantes y más,De 30 a 34 años,9075,4070,5005,7944,3695,4249,1131,375,756
108,Estados Unidos Mexicanos,Aguascalientes,De 50 000 habitantes y más,De 35 a 39 años,8641,3885,4756,7265,3431,3834,1376,454,922
109,Estados Unidos Mexicanos,Aguascalientes,De 50 000 habitantes y más,De 40 años y más,34800,15921,18879,26439,13071,13368,8361,2850,5511
110,Estados Unidos Mexicanos,Baja California,Total,Total,694148,344523,349625,570815,284907,285908,123333,59616,63717
111,Estados Unidos Mexicanos,Baja California,Total,De 6 a 9 años,111949,56439,55510,57065,27962,29103,54884,28477,26407
112,Estados Unidos Mexicanos,Baja California,Total,De 10 a 14 años,120533,60323,60210,110691,54975,55716,9842,5348,4494
113,Estados Unidos Mexicanos,Baja California,Total,De 15 a 19 años,93529,45169,48360,86902,41889,45013,6627,3280,3347
114,Estados Unidos Mexicanos,Baja California,Total,De 20 a 24 años,72745,33378,39367,66642,30770,35872,6103,2608,3495
115,Estados Unidos Mexicanos,Baja California,Total,De 25 a 29 años,57699,27295,30404,52279,25054,27225,5420,2241,3179
116,Estados Unidos Mexicanos,Baja California,Total,De 30 a 34 años,48587,23907,24680,43265,21637,21628,5322,2270,3052
117,Estados Unidos Mexicanos,Baja California,Total,De 35 a 39 años,45806,23309,22497,39783,20667,19116,6023,2642,3381
118,Estados Unidos Mexicanos,Baja California,Total,De 40 años y más,143300,74703,68597,114188,61953,52235,29112,12750,16362
119,Estados Unidos Mexicanos,Baja California,Hasta 2 499 habitantes,Total,107338,55810,51528,83482,43738,39744,23856,12072,11784
120,Estados Unidos Mexicanos,Baja California,Hasta 2 499 habitantes,De 6 a 9 años,17952,8833,9119,8569,3989,4580,9383,4844,4539
121,Estados Unidos Mexicanos,Baja California,Hasta 2 499 habitantes,De 10 a 14 años,19093,9564,9529,17003,8409,8594,2090,1155,935
122,Estados Unidos Mexicanos,Baja California,Hasta 2 499 habitantes,De 15 a 19 años,14394,7341,7053,13011,6650,6361,1383,691,692
123,Estados Unidos Mexicanos,Baja California,Hasta 2 499 habitantes,De 20 a 24 años,10821,5339,5482,9631,4808,4823,1190,531,659
124,Estados Unidos Mexicanos,Baja California,Hasta 2 499 habitantes,De 25 a 29 años,8497,4224,4273,7398,3744,3654,1099,480,619
125,Estados Unidos Mexicanos,Baja California,Hasta 2 499 habitantes,De 30 a 34 años,7153,3731,3422,6035,3207,2828,1118,524,594
126,Estados Unidos Mexicanos,Baja California,Hasta 2 499 habitantes,De 35 a 39 años,6975,3775,3200,5684,3139,2545,1291,636,655
127,Estados Unidos Mexicanos,Baja California,Hasta 2 499 habitantes,De 40 años y más,22453,13003,9450,16151,9792,6359,6302,3211,3091
128,Estados Unidos Mexicanos,Baja California,De 2 500 a 4 999 habitantes,Total,25773,13345,12428,20606,10744,9862,5167,2601,2566
129,Estados Unidos Mexicanos,Baja California,De 2 500 a 4 999 habitantes,De 6 a 9 años,4394,2288,2106,2306,1155,1151,2088,1133,955
130,Estados Unidos Mexicanos,Baja California,De 2 500 a 4 999 habitantes,De 10 a 14 años,4730,2452,2278,4346,2227,2119,384,225,159
131,Estados Unidos Mexicanos,Baja California,De 2 500 a 4 999 habitantes,De 15 a 19 años,3374,1691,1683,3108,1565,1543,266,126,140
132,Estados Unidos Mexicanos,Baja California,De 2 500 a 4 999 habitantes,De 20 a 24 años,2492,1204,1288,2208,1076,1132,284,128,156
133,Estados Unidos Mexicanos,Baja California,De 2 500 a 4 999 habitantes,De 25 a 29 años,2094,1035,1059,1860,925,935,234,110,124
134,Estados Unidos Mexicanos,Baja California,De 2 500 a 4 999 habitantes,De 30 a 34 años,1699,852,847,1465,747,718,234,105,129
135,Estados Unidos Mexicanos,Baja California,De 2 500 a 4 999 habitantes,De 35 a 39 años,1674,877,797,1423,764,659,251,113,138
136,Estados Unidos Mexicanos,Baja California,De 2 500 a 4 999 habitantes,De 40 años y más,5316,2946,2370,3890,2285,1605,1426,661,765
137,Estados Unidos Mexicanos,Baja California,De 5 000 a 9 999 habitantes,Total,13881,7331,6550,10857,5763,5094,3024,1568,1456
138,Estados Unidos Mexicanos,Baja California,De 5 000 a 9 999 habitantes,De 6 a 9 años,2339,1234,1105,1171,604,567,1168,630,538
139,Estados Unidos Mexicanos,Baja California,De 5 000 a 9 999 habitantes,De 10 a 14 años,2527,1332,1195,2273,1182,1091,254,150,104
140,Estados Unidos Mexicanos,Baja California,De 5 000 a 9 999 habitantes,De 15 a 19 años,1823,975,848,1646,883,763,177,92,85
141,Estados Unidos Mexicanos,Baja California,De 5 000 a 9 999 habitantes,De 20 a 24 años,1395,690,705,1238,608,630,157,82,75
142,Estados Unidos Mexicanos,Baja California,De 5 000 a 9 999 habitantes,De 25 a 29 años,1182,575,607,1013,514,499,169,61,108
143,Estados Unidos Mexicanos,Baja California,De 5 000 a 9 999 habitantes,De 30 a 34 años,948,501,447,791,430,361,157,71,86
144,Estados Unidos Mexicanos,Baja California,De 5 000 a 9 999 habitantes,De 35 a 39 años,908,470,438,746,388,358,162,82,80
145,Estados Unidos Mexicanos,Baja California,De 5 000 a 9 999 habitantes,De 40 años y más,2759,1554,1205,1979,1154,825,780,400,380
146,Estados Unidos Mexicanos,Baja California,De 10 000 a 19 999 habitantes,Total,11828,5384,6444,9569,4476,5093,2259,908,1351
147,Estados Unidos Mexicanos,Baja California,De 10 000 a 19 999 habitantes,De 6 a 9 años,1911,824,1087,950,428,522,961,396,565
148,Estados Unidos Mexicanos,Baja California,De 10 000 a 19 999 habitantes,De 10 a 14 años,2168,955,1213,1902,883,1019,266,72,194
149,Estados Unidos Mexicanos,Baja California,De 10 000 a 19 999 habitantes,De 15 a 19 años,1684,718,966,1534,680,854,150,38,112
150,Estados Unidos Mexicanos,Baja California,De 10 000 a 19 999 habitantes,De 20 a 24 años,1278,540,738,1175,498,677,103,42,61
151,Estados Unidos Mexicanos,Baja California,De 10 000 a 19 999 habitantes,De 25 a 29 años,921,427,494,813,386,427,108,41,67
152,Estados Unidos Mexicanos,Baja California,De 10 000 a 19 999 habitantes,De 30 a 34 años,738,350,388,630,302,328,108,48,60
153,Estados Unidos Mexicanos,Baja California,De 10 000 a 19 999 habitantes,De 35 a 39 años,674,340,334,567,285,282,107,55,52
154,Estados Unidos Mexicanos,Baja California,De 10 000 a 19 999 habitantes,De 40 años y más,2454,1230,1224,1998,1014,984,456,216,240
155,Estados Unidos Mexicanos,Baja California,De 50 000 habitantes y más,Total,535328,262653,272675,446301,220186,226115,89027,42467,46560
156,Estados Unidos Mexicanos,Baja California,De 50 000 habitantes y más,De 6 a 9 años,85353,43260,42093,44069,21786,22283,41284,21474,19810
157,Estados Unidos Mexicanos,Baja California,De 50 000 habitantes y más,De 10 a 14 años,92015,46020,45995,85167,42274,42893,6848,3746,3102
158,Estados Unidos Mexicanos,Baja California,De 50 000 habitantes y más,De 15 a 19 años,72254,34444,37810,67603,32111,35492,4651,2333,2318
159,Estados Unidos Mexicanos,Baja California,De 50 000 habitantes y más,De 20 a 24 años,56759,25605,31154,52390,23780,28610,4369,1825,2544
160,Estados Unidos Mexicanos,Baja California,De 50 000 habitantes y más,De 25 a 29 años,45005,21034,23971,41195,19485,21710,3810,1549,2261
161,Estados Unidos Mexicanos,Baja California,De 50 000 habitantes y más,De 30 a 34 años,38049,18473,19576,34344,16951,17393,3705,1522,2183
162,Estados Unidos Mexicanos,Baja California,De 50 000 habitantes y más,De 35 a 39 años,35575,17847,17728,31363,16091,15272,4212,1756,2456
163,Estados Unidos Mexicanos,Baja California,De 50 000 habitantes y más,De 40 años y más,110318,55970,54348,90170,47708,42462,20148,8262,11886
164,Estados Unidos Mexicanos,"Baja California, Territorio",Total,Total,101614,52082,49532,84082,43287,40795,17532,8795,8737
