,Estados Unidos Mexicanos,Entidad federativa,Edad desplegada,Población de 6 a 14 años:Total,Población de 6 a 14 años:Hombres,Población de 6 a 14 años:Mujeres,Sabe leer y escribir :Total,Sabe leer y escribir :Hombres,Sabe leer y escribir :Mujeres,No sabe leer y escribir :Total,No sabe leer y escribir :Hombres,No sabe leer y escribir :Mujeres,No especificado :Total,No especificado :Hombres,No especificado :Mujeres
95,Estados Unidos Mexicanos,09 Distrito Federal,7 años,153730,78656,75074,141433,72248,69185,11920,6244,5676,377,164,213
96,Estados Unidos Mexicanos,09 Distrito Federal,8 años,161670,81955,79715,157768,79902,77866,3529,1888,1641,373,165,208
97,Estados Unidos Mexicanos,09 Distrito Federal,9 años,151135,76693,74442,148895,75493,73402,1843,1012,831,397,188,209
98,Estados Unidos Mexicanos,09 Distrito Federal,10 años,161855,82906,78949,160011,81963,78048,1513,821,692,331,122,209
99,Estados Unidos Mexicanos,09 Distrito Federal,11 años,148301,75362,72939,146962,74665,72297,1054,583,471,285,114,171
100,Estados Unidos Mexicanos,09 Distrito Federal,12 años,161660,81757,79903,160175,81013,79162,1190,624,566,295,120,175
101,Estados Unidos Mexicanos,09 Distrito Federal,13 años,154434,77450,76984,153055,76760,76295,1142,574,568,237,116,121
102,Estados Unidos Mexicanos,09 Distrito Federal,14 años,155558,76727,78831,154139,76030,78109,1153,551,602,266,146,120
103,Estados Unidos Mexicanos,10 Durango,Total,319752,162442,157310,277445,139731,137714,41720,22404,19316,587,307,280
104,Estados Unidos Mexicanos,10 Durango,6 años,36110,18299,17811,11656,5713,5943,24280,12494,11786,174,92,82
105,Estados Unidos Mexicanos,10 Durango,7 años,35571,18116,17455,27608,13716,13892,7896,4366,3530,67,34,33
106,Estados Unidos Mexicanos,10 Durango,8 años,36942,18723,18219,33486,16779,16707,3394,1916,1478,62,28,34
107,Estados Unidos Mexicanos,10 Durango,9 años,35219,17992,17227,33496,16987,16509,1665,977,688,58,28,30
108,Estados Unidos Mexicanos,10 Durango,10 años,36862,18804,18058,35511,18018,17493,1299,762,537,52,24,28
109,Estados Unidos Mexicanos,10 Durango,11 años,33227,16753,16474,32398,16256,16142,787,477,310,42,20,22
